timestamp,discipline,note_brute,note_harmonisee
2026-04-18T21:22:38Z,ARTS,14.0,97.169
2026-04-18T21:22:38Z,EPS,15.0,102.069
2026-04-18T21:22:38Z,FRANCAIS,11.33,96.997
2026-04-18T21:22:38Z,HISTOIRE-GEO,11.33,95.979
2026-04-18T21:22:38Z,LANGUES VIVANTES,12.67,98.295
2026-04-18T21:22:38Z,MATHEMATIQUES,11.33,98.611
2026-04-18T21:22:38Z,SCIENCES-TECHNO-DP,12.78,99.496
2026-04-18T21:25:13Z,ARTS,15.0,102.269
2026-04-18T21:25:13Z,EPS,16.0,107.165
2026-04-18T21:25:13Z,FRANCAIS,13.0,102.108
2026-04-18T21:25:13Z,HISTOIRE-GEO,13.0,101.242
2026-04-18T21:25:13Z,LANGUES VIVANTES,13.67,101.616
2026-04-18T21:25:13Z,MATHEMATIQUES,14.0,105.369
2026-04-18T21:25:13Z,SCIENCES-TECHNO-DP,14.0,103.845
2026-04-18T21:27:50Z,ARTS,15.5,104.818
2026-04-18T21:27:50Z,EPS,16.0,107.165
2026-04-18T21:27:50Z,FRANCAIS,13.0,102.108
2026-04-18T21:27:50Z,HISTOIRE-GEO,14.0,104.393
2026-04-18T21:27:50Z,LANGUES VIVANTES,16.0,109.353
2026-04-18T21:27:50Z,MATHEMATIQUES,16.0,110.431
2026-04-18T21:27:50Z,SCIENCES-TECHNO-DP,15.0,107.411
